atomic_number,name,symbol,atomic_mass,electron_configuration
1,Hydrogen,H,1.007,1s1
2,Helium,He,4.002,1s2
3,Lithium,Li,6.941,[He]2s1
4,Beryllium,Be,9.012,[He]2s2
5,Boron,B,10.811,[He]2s22p1
6,Carbon,C,12.011,[He]2s22p2
7,Nitrogen,N,14.007,[He]2s22p3
8,Oxygen,O,15.999,[He]2s22p4
9,Fluorine,F,18.998,[He]2s22p5
10,Neon,Ne,20.18,[He]2s22p6
11,Sodium,Na,22.99,[Ne]3s1
12,Magnesium,Mg,24.305,[Ne]3s2
13,Aluminum,Al,26.982,[Ne]3s23p1
14,Silicon,Si,28.086,[Ne]3s23p2
15,Phosphorus,P,30.974,[Ne]3s23p3
16,Sulfur,S,32.065,[Ne]3s23p4
17,Chlorine,Cl,35.453,[Ne]3s23p5
18,Argon,Ar,39.948,[Ne]3s23p6
19,Potassium,K,39.098,[Ar]4s1
20,Calcium,Ca,40.078,[Ar]4s2
21,Scandium,Sc,44.956,[Ar]3d14s2
22,Titanium,Ti,47.867,[Ar]3d24s2
23,Vanadium,V,50.942,[Ar]3d34s2
24,Chromium,Cr,51.996,[Ar]3d54s1
25,Manganese,Mn,54.938,[Ar]3d54s2
26,Iron,Fe,55.845,[Ar]3d64s2
27,Cobalt,Co,58.933,[Ar]3d74s2
28,Nickel,Ni,58.693,[Ar]3d84s2
29,Copper,Cu,63.546,[Ar]3d104s1
30,Zinc,Zn,65.38,[Ar]3d104s2
31,Gallium,Ga,69.723,[Ar]3d104s24p1
32,Germanium,Ge,72.64,[Ar]3d104s24p2
33,Arsenic,As,74.922,[Ar]3d104s24p3
34,Selenium,Se,78.96,[Ar]3d104s24p4
35,Bromine,Br,79.904,[Ar]3d104s24p5
36,Krypton,Kr,83.798,[Ar]3d104s24p6
37,Rubidium,Rb,85.468,[Kr]5s1
38,Strontium,Sr,87.62,[Kr]5s2
39,Yttrium,Y,88.906,[Kr]4d15s2
40,Zirconium,Zr,91.224,[Kr]4d25s2
41,Niobium,Nb,92.906,[Kr]4d45s1
42,Molybdenum,Mo,95.96,[Kr]4d55s1
43,Technetium,Tc,98,[Kr]4d55s2
44,Ruthenium,Ru,101.07,[Kr]4d75s1
45,Rhodium,Rh,102.906,[Kr]4d85s1
46,Palladium,Pd,106.42,[Kr]4d10
47,Silver,Ag,107.868,[Kr]4d105s1
48,Cadmium,Cd,112.411,[Kr]4d105s2
49,Indium,In,114.818,[Kr]4d105s25p1
50,Tin,Sn,118.71,[Kr]4d105s25p2
51,Antimony,Sb,121.76,[Kr]4d105s25p3
52,Tellurium,Te,127.6,[Kr]4d105s25p4
53,Iodine,I,126.904,[Kr]4d105s25p5
54,Xenon,Xe,131.293,[Kr]4d105s25p6
55,Cesium,Cs,132.905,[Xe]6s1
56,Barium,Ba,137.327,[Xe]6s2
57,Lanthanum,La,138.905,[Xe]5d16s2
58,Cerium,Ce,140.116,[Xe]4f15d16s2
59,Praseodymium,Pr,140.908,[Xe]4f36s2
60,Neodymium,Nd,144.242,[Xe]4f46s2
61,Promethium,Pm,145,[Xe]4f56s2
62,Samarium,Sm,150.36,[Xe]4f66s2
63,Europium,Eu,151.964,[Xe]4f76s2
64,Gadolinium,Gd,157.25,[Xe]4f75d16s2
65,Terbium,Tb,158.925,[Xe]4f96s2
